position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,fen
j83hSepE_ply_18,j83hSepE,18,10,white,blackmeta,SrPinguin,1600,1688,26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_18.png,b2b4,b4,r2qkb1r/pp3pp1/2n1pnp1/3p4/P2P4/2P2N1P/1P3PP1/RNBQK2R w KQkq - 1 10
j83hSepE_ply_19,j83hSepE,19,10,black,blackmeta,SrPinguin,1600,1688,22,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_19.png,f8e7,Be7,r2qkb1r/pp3pp1/2n1pnp1/3p4/PP1P4/2P2N1P/5PP1/RNBQK2R b KQkq - 0 10
j83hSepE_ply_20,j83hSepE,20,11,white,blackmeta,SrPinguin,1600,1688,35,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_20.png,a4a5,a5,r2qk2r/pp2bpp1/2n1pnp1/3p4/PP1P4/2P2N1P/5PP1/RNBQK2R w KQkq - 1 11
j83hSepE_ply_21,j83hSepE,21,11,black,blackmeta,SrPinguin,1600,1688,43,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_21.png,a7a6,a6,r2qk2r/pp2bpp1/2n1pnp1/P2p4/1P1P4/2P2N1P/5PP1/RNBQK2R b KQkq - 0 11
j83hSepE_ply_22,j83hSepE,22,12,white,blackmeta,SrPinguin,1600,1688,64,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_22.png,c1g5,Bg5,r2qk2r/1p2bpp1/p1n1pnp1/P2p4/1P1P4/2P2N1P/5PP1/RNBQK2R w KQkq - 0 12
j83hSepE_ply_23,j83hSepE,23,12,black,blackmeta,SrPinguin,1600,1688,12,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_23.png,f6e4,Ne4,r2qk2r/1p2bpp1/p1n1pnp1/P2p2B1/1P1P4/2P2N1P/5PP1/RN1QK2R b KQkq - 1 12
j83hSepE_ply_24,j83hSepE,24,13,white,blackmeta,SrPinguin,1600,1688,11,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_24.png,g5f4,Bf4,r2qk2r/1p2bpp1/p1n1p1p1/P2p2B1/1P1Pn3/2P2N1P/5PP1/RN1QK2R w KQkq - 2 13
j83hSepE_ply_25,j83hSepE,25,13,black,blackmeta,SrPinguin,1600,1688,23,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_25.png,g6g5,g5,r2qk2r/1p2bpp1/p1n1p1p1/P2p4/1P1PnB2/2P2N1P/5PP1/RN1QK2R b KQkq - 3 13
j83hSepE_ply_26,j83hSepE,26,14,white,blackmeta,SrPinguin,1600,1688,29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_26.png,f4e5,Be5,r2qk2r/1p2bpp1/p1n1p3/P2p2p1/1P1PnB2/2P2N1P/5PP1/RN1QK2R w KQkq - 0 14
j83hSepE_ply_27,j83hSepE,27,14,black,blackmeta,SrPinguin,1600,1688,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_27.png,f7f6,f6,r2qk2r/1p2bpp1/p1n1p3/P2pB1p1/1P1Pn3/2P2N1P/5PP1/RN1QK2R b KQkq - 1 14
